Tickler,Company,MarketCap_EUR,Price_EUR,Revenue_EUR,ISIN,Official_Xetra_Name,Primary_Market_MIC
EXE,Expand Energy Corporation,18591282182,80.4,11079547400,US1651677353,"EXPAND ENERGY      DL-,01",XNAS
ASTS,"AST SpaceMobile, Inc.",18590419796,61.3,73664126,US00217D1000,"AST SPACEMOBIL.A DL-,0001",XNCM
CAP.PA,Capgemini SE,18544316559,109.65,23440000000,FR0000125338,CAPGEMINI SE INH. EO 8,XPAR
DOW,Dow Inc.,18332357139,25.81,36166520700,US2605571031,"DOW INC.           DL-,01",XNYS
CLNX.MC,"Cellnex Telecom, S.A.",18281995286,27.1,4174724000,ES0105066007,"CELLNEX TELECOM SA EO-,25",XMAD
THC,Tenet Healthcare Corporation,18257075332,216,19092043600,US88033G4073,"TENET HEALTHCARE   DL-,05",XNYS
UN0.DE,Uniper SE,18033381876,43.3,57172000000,DE000UNSE026,UNIPER SE  NA O.N.,XFRA
BG,Bunge Global SA,18010918027,93.14,80369170700,CH1300646267,"BUNGE GLOBAL S.A. DL-,01",XNYS
BESI.AS,BE Semiconductor Industries N.V.,17894034637,221.3,733830000,NL0012866412,"BE SEMICON.INDSINH.EO-,01",XAMS
VNA.DE,Vonovia SE,17859351281,21.05,5965400000,DE000A1ML7J1,VONOVIA SE NA O.N.,XFRA
CSG.AS,CSG N.V.,17714000000,18.004,7217315000,NL0015073TS8,"CSG N.V.          EO -,01",XAMS
BEI.DE,Beiersdorf Aktiengesellschaft,17707496176,81.38,9616000000,DE0005200000,BEIERSDORF AG O.N.,XHAM
RI.PA,Pernod Ricard SA,17697666315,70.48,10036000000,FR0000120693,PERNOD RICARD        O.N.,XPAR
STMN.SW,Straumann Holding AG,17569730596,110,2798427667,CH1175448666,"STRAUMANN HLDG NA SF 0,01",XSWX
CARL-B.CO,Carlsberg A/S,17503694113,126.65,11929514726,DK0010181759,CARLSBERG A/S NAM. B DK20,XCSE
SNX,TD SYNNEX Corporation,17458457776,220.9,59733713415,US87162W1009,"TD SYNNEX CORP.  DL -,001",XNYS
SMCI,"Super Micro Computer, Inc.",17418641091,26.54,29228188664,US86800U3023,SUPER MICRO O.N.,XNAS
DIM.PA,Sartorius Stedim Biotech S.A.,17309032940,178,3005100000,FR0013154002,"SARTOR.STED.B. EO-,20",XPAR
SAB.MC,"Banco de Sabadell, S.A.",16844777039,3.445,4243621000,ES0113860A34,"BCO DE SABADELL A EO-,125",XMAD
GIS,"General Mills, Inc.",16705897908,31.35,15775142520,US3703341046,"GENL MILLS        DL -,10",XNYS
KBX.DE,Knorr-Bremse AG,16426280000,101.9,8030000000,DE000KBX1006,KNORR-BREMSE AG  INH O.N.,XFRA
ENX.PA,Euronext N.V.,16402541093,162.3,1964728000,NL0006294274,"EURONEXT N.V. WI EO 1,60",XPAR
VTRS,Viatris Inc.,16323715930,14.406,12899558690,US92556V1061,VIATRIS INC.  O.N.,XNAS
TIT.MI,Telecom Italia S.p.A.,16161047526,7.625,14069000000,IT0005712671,TELECOM ITALIA,XMIL
FTV,Fortive Corporation,16121413521,51.22,3772872360,US34959J1088,"FORTIVE CORP.      DL-,01",XNYS
RBRK,"Rubrik, Inc.",16036216783,72.4,1214480767,US7811541090,"RUBRIK INC. A DL-,001",XNYS
GMAB.CO,Genmab A/S,15958816208,270.29999,3615864300,DK0010272202,GENMAB AS            DK 1,XCSE
LSCC,Lattice Semiconductor Corporation,15862773074,111.78,569206481,US5184151042,"LATTICE SEMICOND.  DL-,01",XNAS
CHTR,"Charter Communications, Inc.",15741414548,132.8,47612818800,US16119P1084,CHARTER COM. CL. A,XNAS
WKL.AS,Wolters Kluwer N.V.,15620865498,68.62,6106000000,NL0000395903,WOLTERS KLUWER NAM. EO-12,XAMS
APG,APi Group Corporation,15595714366,36.2,7385781400,US00187Y1001,API GROUP CORP.,XNYS
TSCO,Tractor Supply Company,15514951374,29.475,13810234803,US8923561067,"TRACTOR SUPPLY    DL-,008",XNAS
RBC,RBC Bearings Incorporated,15489519343,496,1713617920,US75524B1044,"RBC BEARINGS INC.  DL-,01",XNYS
CDE,"Coeur Mining, Inc.",15462558017,14.85,2775749609,US1921085049,"COEUR MINING DL -,01",XNYS
WCC,"WESCO International, Inc.",15333066392,326.89999,21893703840,US95082P1057,"WESCO INTL INC.    DL-,01",XNYS
JHX,James Hardie Industries plc,15313879007,24.4,4735810650,IE000R94NGM2,"JAMES HARDIE IND. EO-,59",XNYS
KPN.AS,Koninklijke KPN N.V.,15251526633,4.042,5828000000,NL0000009082,KON. KPN NV         EO-04,XAMS
URW.PA,Unibail-Rodamco-Westfield SE,15068493327,104.35,3540100000,FR0013326246,"URW (STAPLED SHS)  EO-,05",XPAR
CF,"CF Industries Holdings, Inc.",14969270619,94.6,6773946700,US1252691001,"CF INDS HLDGS      DL-,01",XNYS
IEX,IDEX Corporation,14950977296,203.8,3138213090,US45167R1041,"IDEX CORP.         DL-,01",XNYS
DWS.DE,DWS Group GmbH & Co. KGaA,14950000000,74.75,4787000000,DE000DWS1007,DWS GROUP GMBH+CO.KGAA ON,XFRA
BBY,"Best Buy Co., Inc.",14949712247,70.32,35581000000,US0865161014,"BEST BUY CO.       DL-,10",XNYS
FBK.MI,FinecoBank Banca Fineco S.p.A.,14944904537,24.49,1380415000,IT0000072170,"FINECOBANK BCA FIN.EO-,33",XMIL
J,Jacobs Solutions Inc.,14686654473,126,12467408589,US46982L1089,JACOBS SOLUTIONS INC. DL1,XNYS
CRCL,"Circle Internet Group, Inc.",14640907813,58.35,2543130757,US1725731079,"CIRCLE INT.GRP A DL-,0001",XNYS
CG,The Carlyle Group Inc.,14608972890,39.52,2447951510,US14316J1088,CARLYLE GROUP INC.,XNAS
PR,Permian Resources Corporation,14593722680,17.605,5021898079,US71424F1057,PERMIAN RESOUR. CL.A O.N.,XNYS
SRT.F,Sartorius Aktiengesellschaft,14586123950,190,3581700000,DE0007165607,SARTORIUS AG O.N.,XHAN
ASRNL.AS,ASR Nederland N.V.,14495020128,70.46,17124000000,NL0011872643,"ASR NEDERLAND N.V.EO-,16",XAMS
STRL,"Sterling Infrastructure, Inc.",14474697778,481.8,3009706796,US8592411016,"STERLING INFRASTRU.DL-,01",XNAS
JLL,Jones Lang LaSalle Incorporated,14421514772,318,24012542550,US48020Q1076,"JONES LANG LASALLE DL-,01",XNYS
JAZZ,Jazz Pharmaceuticals plc,14406128552,223,4027505636,IE00B4Q5ZN47,"JAZZ PHARMACEUT. DL-,0001",XNAS
BBIO,"BridgeBio Pharma, Inc.",14285198862,72.31,502997573,US10806X1028,"BRIDGEBIO PHARMA  DL-,001",XNAS
EXO.AS,Exor N.V.,14270324170,70.7,-3518000000,NL0012059018,EXOR N.V.,XAMS
AGS.BR,ageas SA/NV,14199625150,74.55,9429000000,BE0974264930,AGEAS SA/NV,XBRU
OVV,Ovintiv Inc.,14146117020,51.82,8335481900,US69047Q1022,"OVINTIV INC.       DL-,01",XNYS
TIGO,Millicom International Cellular S.A.,14092017231,91.5,6339797900,LU0038705702,"MILLICOM INTL CELL. DL1,5",XNAS
BG.VI,BAWAG Group AG,14083030588,182.2,2075800000,AT0000BAWAG2,BAWAG GROUP AG,WBAH
STLAM.MI,Stellantis N.V.,13892607656,4.796,160861000000,NL00150001Q9,"STELLANTIS NV     EO -,01",XPAR
PTC,PTC Inc.,13863752737,127.9,2585611692,US69370C1009,"PTC INC.          DL -,01",XNAS
MONC.MI,Moncler S.p.A.,13778997037,51.34,3196375000,IT0004965148,MONCLER S.P.A.,XMIL
CON.DE,Continental Aktiengesellschaft,13660408639,68.3,18815000000,DE0005439004,CONTINENTAL AG O.N.,XHAN
PNFP,"Pinnacle Financial Partners, Inc.",13619056496,92,2890771032,US72348N1090,PINNACLE FINL P. NEW O.N.,XNYS
0QHQ.IL,SNGN Romgaz SA,13490038579,1,1525787754,,,
ALB,Albemarle Corporation,13382971215,111.5,5171188371,US0126531013,"ALBEMARLE CORP.    DL-,01",XNYS
TXT,Textron Inc.,13304383339,79.36,13374385800,US8832031012,"TEXTRON INC.      DL-,125",XNYS
CSL,Carlisle Companies Incorporated,13280165794,335.6,4461404100,US1423391002,CARLISLE COS. INC.   DL 1,XNYS
JBS,JBS N.V.,13181369762,11.775,76553350715,NL0015002J37,"JBS N.N.         EO -,01",XNYS
COLO-B.CO,Coloplast A/S,13173005092,57.76,3752358936,DK0060448595,COLOPLAST NAM. B    DK 1,XCSE
LII,Lennox International Inc.,13146917059,379,4641015660,US5261071071,"LENNOX INTL INC.   DL-,01",XNYS
ONTO,Onto Innovation Inc.,13087095653,261.89999,980455916,US6833441057,ONTO INNOVATION,XNYS
LOGN.SW,Logitech International S.A.,12981022586,90.56,4306731588,CH0025751329,"LOGITECH INTL NA  SF -,25",XSWX
RPM,RPM International Inc.,12967848277,101,6732661916,US7496851038,"RPM INTERN. INC.   DL-,01",XNYS
ARMK,Aramark,12849441001,48.93,16845359466,US03852U1060,"ARAMARK           DL -,01",XNYS
1COV.F,Covestro AG,12645296097,60.8,12815000000,,,
LULU,lululemon athletica inc.,12629659801,110.8,9523011550,US5500211090,LULULEMON ATHLETICA INC.,XNAS
DOCN,"DigitalOcean Holdings, Inc.",12626838480,108.7,885027209,US25402D1028,"DIGITALOCEAN HLD.-,000025",XNYS
SY1.DE,Symrise AG,12572663174,91.92,4914877000,DE000SYM9999,SYMRISE AG INH. O.N.,XFRA
UPM.HE,UPM-Kymmene Oyj,12476486928,23.64,9523000000,FI0009005987,UPM KYMMENE CORP.,XHEL
ALLE,Allegion plc,12426689152,145.64999,3753724050,IE00BFRT3W74,ALLEGION PLC         DL 1,XNYS
UNM,Unum Group,12400868037,80.16,11683241810,US91529Y1064,"UNUM GROUP         DL-,10",XNYS
CACI,CACI International Inc,12318989119,548,8374676959,US1271903049,"CACI INTL INC. A    DL-,1",XNYS
TRYG.CO,Tryg A/S,12286725682,20.6,5848334402,DK0060636678,TRYG AS NAM.         DK 5,XCSE
AUR,"Aurora Innovation, Inc.",12239175806,5.95,4376500,US0517741072,AURORA INNOVATION INC.,XNCM
GL,Globe Life Inc.,12221386769,153,5419820837,US37959E1029,GLOBE LIFE INC.      DL 1,XNYS
ERF.PA,Eurofins Scientific SE,12117242866,69.86,7385500000,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",XPAR
SGI,Somnigroup International Inc.,11873291269,57,6666284800,US88023U1016,"SOMNIGROUP INT.    DL-,01",XNYS
TXRH,"Texas Roadhouse, Inc.",11826072331,179.4,5454445080,US8826811098,"TEXAS ROADHOUSE DL-,001",XNAS
FGR.PA,Eiffage SA,11747349471,123.35,26119000000,FR0000130452,EIFFAGE SA INH.      EO 4,XPAR
CNH,CNH Industrial N.V.,11653969662,9.44,15917330500,NL0010545661,"CNH INDUSTRIAL    EO -,01",XNYS
DECK,Deckers Outdoor Corporation,11566141100,86.14,4838036062,US2435371073,"DECKERS OUTDOOR    DL-,01",XNYS
AIT,"Applied Industrial Technologies, Inc.",11506004067,311.4,4196629662,US03820C1053,APPLIED IND. TECHS,XNYS
AA,Alcoa Corporation,11452891380,43.11,11906705900,US0138721065,ALCOA CORP. O.N.,XNYS
DHER.DE,Delivery Hero SE,11299313182,37.2,14059600000,DE000A2E4K43,DELIVERY HERO SE NA O.N.,XFRA
JEF,Jefferies Financial Group Inc.,11291597190,48.68,7140593269,US47233W1099,JEFFERIES FINL GRP   DL 1,XNYS
AEIS,"Advanced Energy Industries, Inc.",11259873380,284.9,1783686340,US0079731008,"ADVANCED EN. INDS DL-,001",XNAS
BLHWF,BELIMO Holding AG,11169220905,950,1338638105,,,
CA.PA,Carrefour SA,11158272516,15.765,84606000000,FR0000120172,"CARREFOUR S.A. INH.EO 2,5",XPAR
FME.DE,Fresenius Medical Care AG,11144494260,42.05,19427148000,DE0005785802,FRESEN.MED.CARE AG INH ON,XFRA
SPSN.SW,Swiss Prime Site AG,11117563136,135.6,601387524,,,
SJM,The J. M. Smucker Company,11109007909,103.98,7714987160,US8326964058,SMUCKER -J.M.-,XNYS
TYL,"Tyler Technologies, Inc.",11068140380,267,2126678772,US9022521051,"TYLER TECHS INC.   DL-,01",XNYS
RVTY,"Revvity, Inc.",11064598690,94.34,2545505176,US7140461093,REVVITY INC.         DL 1,XNYS
IDR.MC,"Indra Sistemas, S.A.",11060974518,62.7,6340870000,ES0118594417,"INDRA SISTEMAS INH.EO 0,2",XMAD
CLX,The Clorox Company,10998371250,91.38,5882016000,US1890541097,CLOROX CO.           DL 1,XNYS
ICLR,ICON Public Limited Company,10979132668,141.7,7260103200,IE0005711209,"ICON PLC           EO-,06",XNAS
SN.L,Smith & Nephew plc,10928815458,12.9,5523840000,GB0009223206,"SMITH + NEP.   DL -,20",XLON
